3CB

DESCRIPTION                             CLASSNAME
--- Rifles ------------------------------------------------------------------------
L103A2 DP                               UK3CB_BAF_L103A2
L110A2 LMG                              UK3CB_BAF_L110A2
L110A2 LMG FIST                         UK3CB_BAF_L110A2_FIST
L115A3 (Desert)                         UK3CB_BAF_L115A3_Desert
L115A3 (Desert/Ghillie)                 UK3CB_BAF_L115A3_Desert_Ghillie
L115A3 (Woodland)                       UK3CB_BAF_L115A3
L115A3 (Woodland/Ghillie)               UK3CB_BAF_L115A3_Ghillie
L128A1 Shotgun                          UK3CB_BAF_L128A1
L129A1 DMR                              UK3CB_BAF_L129A1
L129A1 DMR AFG                          UK3CB_BAF_L129A1_AFG
L129A1 DMR Folding Grip                 UK3CB_BAF_L129A1_FGrip
L129A1 DMR GripPod                      UK3CB_BAF_L129A1_Grippod
L22                                     UK3CB_BAF_L22
L22A2                                   UK3CB_BAF_L22A2
L7A2 GPMG                               UK3CB_BAF_L7A2
L7A2 GPMG FIST                          UK3CB_BAF_L7A2_FIST
L82A1                                   UK3CB_BAF_L82A1
L85A2                                   UK3CB_BAF_L85A2
L85A2 AFG                               UK3CB_BAF_L85A2_RIS_AFG
L85A2 EMAG                              UK3CB_BAF_L85A2_EMAG
L85A2 RIS                               UK3CB_BAF_L85A2_RIS
L85A2 with L123A2 Ladder                UK3CB_BAF_L85A2_UGL
L85A2 with L123A3 HWS                   UK3CB_BAF_L85A2_UGL_HWS
L86(P) DMR                              UK3CB_BAF_L86A3
L86A2 LSW                               UK3CB_BAF_L86A2
L91A1 SMG                               UK3CB_BAF_L91A1
L92A1 SMG                               UK3CB_BAF_L92A1
L98A2 Cadet GP                          UK3CB_BAF_L98A2

--- Handguns ----------------------------------------------------------------------
L131A1                                  UK3CB_BAF_L131A1

--- Launchers ---------------------------------------------------------------------
ILAW CS HEDP Launcher                   UK3CB_BAF_AT4_CS_AT_Launcher
ILAW CS HP Launcher                     UK3CB_BAF_AT4_CS_AP_Launcher
AT4 HEDP Launcher                       UK3CB_BAF_AT4_AP_Launcher
AT4 HP Launcher                         UK3CB_BAF_AT4_AT_Launcher
NLAW Launcher                           UK3CB_BAF_NLAW_Launcher
Javelin Launcher                        UK3CB_BAF_Javelin_Launcher  (CLU + Tube)
Javelin Tube                            UK3CB_BAF_Javelin_Slung_Tube

--- Optics ------------------------------------------------------------------------
